r_fighter,b_fighter
Kevin Randleman,Maurice Smith
Jeremy Horn,Chuck Liddell
Gary Goodridge,Andre Roberts
Tito Ortiz,Guy Mezger
Bas Rutten,Kevin Randleman
Pedro Rizzo,Tra Telligman
Pete Williams,Travis Fulton
Marcelo Mello,David Roberts
Laverne Clark,Fabiano Iha
Ron Waterman,Chris Condo
Wanderlei Silva,Tony Petarra
Travis Fulton,David Dodd
Andre Roberts,Ron Waterman
Eugene Jackson,Royce Alger
Tsuyoshi Kohsaka,Tim Lajcik
Paul Jones,Flavio Luiz Moura
Jeremy Horn,Daiju Takase
Pat Miletich,Andre Pederneiras
Maurice Smith,Marco Ruas
Frank Shamrock,Tito Ortiz
Jeremy Horn,Jason Godsey
Brad Kohler,Steve Judson
John Lewis,Lowell Anderson
Matt Hughes,Valeri Ignatov
Jens Pulver,Alfonso Alcarez
Tim Lajcik,Ron Waterman
Chuck Liddell,Paul Jones
Katsuhisa Fujii,Masutatsu Yano
Kenichi Yamamoto,Daiju Takase
Eugene Jackson,Keiichiro Yamamiya
Joe Slick,Jason DeLucia
Kenichi Yamamoto,Katsuhisa Fujii
Pedro Rizzo,Tsuyoshi Kohsaka
Kevin Randleman,Pete Williams
Tedd Williams,Steve Judson
Lance Gibson,Jermaine Andre
Dave Menne,Fabiano Iha
Jens Pulver,David Velasquez
Scott Adams,Ian Freeman
Shonie Carter,Brad Gumm
Bob Cook,Tiki Ghosn
Laverne Clark,Koji Oishi
Ikuhisa Minowa,Joe Slick
Ron Waterman,Satoshi Honma
Sanae Kikuta,Eugene Jackson
Murilo Bustamante,Yoji Anjo
Tito Ortiz,Wanderlei Silva
Tyrone Roberts,David Dodd
Amaury Bitetti,Alex Andrade
Kevin Randleman,Pedro Rizzo
Jens Pulver,Joao Roque
Matt Hughes,Marcelo Aguiar
Shonie Carter,Adrian Serrano
Pat Miletich,John Alessio
Ian Freeman,Nate Schroeder
Brad Gumm,CJ Fernandes
Jeff Monson,Tim Lajcik
Ian Freeman,Tedd Williams
Yuki Kondo,Alexandre Dantas
Fabiano Iha,Laverne Clark
Jeremy Horn,Eugene Jackson
Maurice Smith,Bobby Hoffman
Pedro Rizzo,Dan Severn
Randy Couture,Kevin Randleman
Renato Sobral,Maurice Smith
Josh Barnett,Gan McGee
Jens Pulver,John Lewis
Mark Hughes,Alex Stiebling
Ben Earwood,Chris Lytle
Andrei Arlovski,Aaron Brink
Chuck Liddell,Jeff Monson
Dennis Hallman,Matt Hughes
Evan Tanner,Lance Gibson
Fabiano Iha,Daiju Takase
Matt Lindland,Yoji Anjo
Pat Miletich,Kenichi Yamamoto
Tito Ortiz,Yuki Kondo
Jens Pulver,Caol Uno
Fabiano Iha,Phil Johns
Tito Ortiz,Evan Tanner
Pedro Rizzo,Josh Barnett
Phil Baroni,Curtis Stout
Sean Sherk,Tiki Ghosn
Elvis Sinosic,Jeremy Horn
Tony DeSouza,Steve Berger
BJ Penn,Joey Gilbert
Matt Lindland,Ricardo Almeida
Semmy Schilt,Pete Williams
Shonie Carter,Matt Serra
Chuck Liddell,Kevin Randleman
Carlos Newton,Pat Miletich
Randy Couture,Pedro Rizzo
Tito Ortiz,Elvis Sinosic
BJ Penn,Din Thomas
Josh Barnett,Semmy Schilt
Pat Miletich,Shonie Carter
Vladimir Matyushenko,Yuki Kondo
Ricco Rodriguez,Andrei Arlovski
Tony DeSouza,Paul Rodriguez
Caol Uno,Fabiano Iha
Din Thomas,Fabiano Iha
Ricardo Almeida,Eugene Jackson
Jutaro Nakao,Tony DeSouza
Dave Menne,Gil Castillo
Matt Serra,Yves Edwards
Chuck Liddell,Murilo Bustamante
Jens Pulver,Dennis Hallman
Tito Ortiz,Vladimir Matyushenko
Randy Couture,Pedro Rizzo
Ricco Rodriguez,Pete Williams
BJ Penn,Caol Uno
Matt Hughes,Carlos Newton
Evan Tanner,Homer Moore
Frank Mir,Roberto Traven
Josh Barnett,Bobby Hoffman
Matt Lindland,Phil Baroni
Eugene Jackson,Keith Rockel
Gil Castillo,Chris Brennan
Kevin Randleman,Renato Sobral
Andrei Semenov,Ricardo Almeida
Chuck Liddell,Amar Suloev
Murilo Bustamante,Dave Menne
Ricco Rodriguez,Jeff Monson
Jens Pulver,BJ Penn
Josh Barnett,Randy Couture
Pedro Rizzo,Andrei Arlovski
Matt Hughes,Hayato Sakurai
Matt Lindland,Pat Miletich
Frank Mir,Pete Williams
Matt Serra,Kelly Dullanty
Sean Sherk,Jutaro Nakao
Evan Tanner,Elvis Sinosic
Robbie Lawler,Aaron Riley
Ivan Salaverry,Andrei Semenov
Caol Uno,Yves Edwards
Phil Baroni,Amar Suloev
BJ Penn,Paul Creighton
Ricco Rodriguez,Tsuyoshi Kohsaka
Murilo Bustamante,Matt Lindland
Chuck Liddell,Vitor Belfort
Benji Radach,Nick Serra
Pete Spratt,Zach Light
Tony Fryklund,Rodrigo Ruas
Yves Edwards,Joao Pierini
Robbie Lawler,Steve Berger
Evan Tanner,Chris Haseman
Renato Sobral,Elvis Sinosic
Phillip Miller,James Zikic
Genki Sudo,Leigh Remedios
Mark Weir,Eugene Jackson
Ian Freeman,Frank Mir
Matt Hughes,Carlos Newton
Ricco Rodriguez,Randy Couture
Tim Sylvia,Wesley Correira
Caol Uno,Din Thomas
BJ Penn,Matt Serra
Phil Baroni,Dave Menne
Matt Lindland,Ivan Salaverry
Sean Sherk,Benji Radach
Gan McGee,Pedro Rizzo
Phillip Miller,Mark Weir
Vladimir Matyushenko,Travis Wiuff
Andrei Arlovski,Ian Freeman
Robbie Lawler,Tiki Ghosn
Carlos Newton,Pete Spratt
Matt Hughes,Gil Castillo
Chuck Liddell,Renato Sobral
Tito Ortiz,Ken Shamrock
Tim Sylvia,Ricco Rodriguez
Frank Mir,David Abbott
Matt Lindland,Phil Baroni
Gan McGee,Alexandre Dantas
Din Thomas,Matt Serra
Vladimir Matyushenko,Pedro Rizzo
BJ Penn,Caol Uno
Yves Edwards,Rich Clementi
Matt Hughes,Sean Sherk
Pete Spratt,Robbie Lawler
Dave Strasser,Romie Aram
David Loiseau,Mark Weir
Rich Franklin,Evan Tanner
Hermes Franca,Richard Crunkilton
Wesley Correira,Sean Alvarez
Duane Ludwig,Genki Sudo
Vernon White,Ian Freeman
Pedro Rizzo,Tra Telligman
Falaniko Vitale,Matt Lindland
Yves Edwards,Eddie Ruiz
Frank Mir,Wes Sims
Vitor Belfort,Marvin Eastman
Kimo Leopoldo,David Abbott
Randy Couture,Chuck Liddell
Randy Couture,Tito Ortiz
Andrei Arlovski,Vladimir Matyushenko
Tim Sylvia,Gan McGee
Jorge Rivera,David Loiseau
Josh Thomson,Gerald Strebendt
Karo Parisyan,Dave Strasser
Nick Diaz,Jeremy Jackson
Rich Franklin,Edwin DeWees
Hermes Franca,Caol Uno
Wesley Correira,David Abbott
Matt Hughes,Frank Trigg
Matt Lindland,Falaniko Vitale
Robbie Lawler,Chris Lytle
Pedro Rizzo,Ricco Rodriguez
Evan Tanner,Phil Baroni
Yves Edwards,Nick Agallar
Keith Rockel,Chris Liguori
Matt Serra,Jeff Curran
Renato Verissimo,Carlos Newton
BJ Penn,Matt Hughes
Vitor Belfort,Randy Couture
Lee Murray,Jorge Rivera
Georges St-Pierre,Karo Parisyan
Josh Thomson,Hermes Franca
Frank Mir,Wes Sims
Genki Sudo,Mike Brown
Mike Kyle,Wes Sims
Nick Diaz,Robbie Lawler
Andrei Arlovski,Wesley Correira
Yves Edwards,Hermes Franca
Chris Lytle,Tiki Ghosn
Chuck Liddell,Tito Ortiz
Jonathan Wiezorek,Wade Shipp
Frank Trigg,Dennis Hallman
Ken Shamrock,Kimo Leopoldo
Frank Mir,Tim Sylvia
Matt Serra,Ivan Menjivar
Evan Tanner,Phil Baroni
Trevor Prangley,Curtis Stout
Matt Hughes,Renato Verissimo
Georges St-Pierre,Jay Hieron
Yves Edwards,Josh Thomson
Karo Parisyan,Nick Diaz
Chris Lytle,Ronald Jhun
Justin Eilers,Mike Kyle
David Terrell,Matt Lindland
Chuck Liddell,Vernon White
Joe Riggs,Joe Doerksen
Randy Couture,Vitor Belfort
Rich Franklin,Jorge Rivera
Matt Hughes,Georges St-Pierre
Tito Ortiz,Patrick Cote
Evan Tanner,Robbie Lawler
